Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
12031;Gabriel Lamé;OUI;36;4;32;30;2;OUI;OUI;2020-12-07T13:24:27+01:00;48.8351212784,2.38553456962;Paris;
17012;Mairie du 17ème;OUI;24;24;0;0;0;OUI;OUI;2020-12-07T13:23:07+01:00;48.8841618487,2.3220794311;Paris;
7020;Champ de Mars - Cler;OUI;41;4;37;34;3;OUI;OUI;2020-12-07T13:26:51+01:00;48.8566915501,2.30664677918;Paris;
17004;Legendre - Clichy;OUI;40;39;1;1;0;OUI;OUI;2020-12-07T13:25:10+01:00;48.8889616186,2.32252897509;Paris;
8009;Gare Saint-Lazare - Isly;OUI;27;3;23;19;4;OUI;OUI;2020-12-07T13:24:20+01:00;48.8747776776,2.32651580478;Paris;
8036;Lisbonne - Monceau;OUI;33;22;11;7;4;OUI;OUI;2020-12-07T13:26:26+01:00;48.8774556768,2.30969422142;Paris;
19105;Ambroise Rendu - Porte Brunet;OUI;17;16;0;0;0;OUI;OUI;2020-12-07T13:26:40+01:00;48.883667,2.395733;Paris;
18107;Chartres - La Charbonnière;OUI;34;32;2;2;0;OUI;OUI;2020-12-07T13:26:04+01:00;48.8847601,2.3534657;Paris;
6001;Institut de France;OUI;17;5;12;10;2;OUI;OUI;2020-12-07T13:26:20+01:00;48.8576156786,2.33583135304;Paris;
12151;Gare de Lyon - Place Louis Armand;OUI;60;49;8;2;6;OUI;OUI;2020-12-07T13:25:12+01:00;48.8455150898,2.37264984463;Paris;
7025;Octave Gréard - Tour Eiffel;OUI;33;13;19;18;1;OUI;OUI;2020-12-07T13:21:39+01:00;48.8565029777,2.29317875433;Paris;
92007;Pesaro - Préfecture;OUI;22;18;4;1;3;OUI;OUI;2020-12-07T13:23:26+01:00;48.8957704628,2.22390834242;Nanterre;
9028;Moncey - Blanche;OUI;17;12;5;3;2;OUI;OUI;2020-12-07T13:25:17+01:00;48.8800658747,2.33108103275;Paris;
20042;Pyrénées - Emmery;OUI;40;40;0;0;0;OUI;OUI;2020-12-07T13:25:19+01:00;48.8720102813,2.39203959703;Paris;
22409;Henri Barbusse - Stalingrad;OUI;16;14;1;0;1;OUI;OUI;2020-12-07T13:24:43+01:00;48.8141837487,2.28728625923;Malakoff;
11027;Saint-Ambroise - Parmentier;OUI;38;35;1;0;1;OUI;OUI;2020-12-07T13:26:05+01:00;48.8621478445,2.3772348091;Paris;
10025;Jemmapes - Ecluses Saint-Martin;OUI;15;7;6;3;3;OUI;OUI;2020-12-07T13:25:12+01:00;48.8774851919,2.36600674689;Paris;
17043;Belidor - Gouvion-Saint-Cyr;OUI;40;28;12;6;6;OUI;OUI;2020-12-07T13:24:39+01:00;48.8802215405,2.2854680568;Paris;
26003;Argenteuil - Voltaire;OUI;16;12;3;3;0;OUI;OUI;2020-12-07T13:25:19+01:00;48.9186486596,2.28141121566;Asnières-sur-Seine;
19026;Place de Rhin et Danube;OUI;17;14;3;0;3;OUI;OUI;2020-12-07T13:20:51+01:00;48.8819276586,2.39258676767;Paris;
19003;Quai de la Seine;OUI;24;20;0;0;0;OUI;OUI;2020-12-07T13:23:43+01:00;48.8844922384,2.37039417028;Paris;
